Job Classification,Age (bin),Balance (bin),Gender,Region,Age,Balance
Blue Collar,60,5K,Female,Scotland,60,5916.94
Blue Collar,61,45K,Female,Scotland,61,48394.84
Blue Collar,61,0K,Female,Scotland,61,1409.52
Blue Collar,63,25K,Female,Scotland,63,28395.48
Blue Collar,64,20K,Female,Scotland,64,24729.53
Blue Collar,19,70K,Female,Wales,19,71036.74
Blue Collar,24,15K,Female,Wales,24,16527
Blue Collar,24,15K,Female,Wales,24,18858.69
Blue Collar,28,90K,Female,Wales,28,94793.04
Blue Collar,29,25K,Female,Wales,29,25737.94
Blue Collar,29,20K,Female,Wales,29,23049.76
Blue Collar,29,5K,Female,Wales,29,7614.4
Blue Collar,30,0K,Female,Wales,30,96.26
Blue Collar,32,30K,Female,Wales,32,33207.29
Blue Collar,33,15K,Female,Wales,33,15196.68
Blue Collar,34,0K,Female,Wales,34,4478.46
Blue Collar,34,45K,Female,Wales,34,49214.87
Blue Collar,35,40K,Female,Wales,35,41917.78
Blue Collar,35,80K,Female,Wales,35,80558.45
Blue Collar,36,15K,Female,Wales,36,15245.28
Blue Collar,36,50K,Female,Wales,36,54473.03
Blue Collar,37,100K,Female,Wales,37,101532.72
Blue Collar,41,30K,Female,Wales,41,30822.55
Blue Collar,42,20K,Female,Wales,42,24238.89
Blue Collar,43,5K,Female,Wales,43,9130.19
Blue Collar,46,25K,Female,Wales,46,29012.65
Other,18,5K,Female,England,18,9281.39
Other,21,15K,Female,England,21,16352.86
Other,23,5K,Female,England,23,5434.22
Other,23,20K,Female,England,23,20148.51
Other,23,15K,Female,England,23,16418.92
Other,23,40K,Female,England,23,42510.95
Other,24,0K,Female,England,24,3140.85
Other,24,90K,Female,England,24,92201.51
Other,24,50K,Female,England,24,54218.79
Other,24,15K,Female,England,24,17946.83
Other,25,35K,Female,England,25,39374.75
Other,25,70K,Female,England,25,71683.32
Other,25,0K,Female,England,25,1890.37
Other,25,10K,Female,England,25,12589.45
Other,26,0K,Female,England,26,4212.36
Other,26,10K,Female,England,26,10054.71
Other,27,30K,Female,England,27,34178.68
Other,27,30K,Female,England,27,30992.37
Other,28,105K,Female,England,28,106947.88
Other,28,65K,Female,England,28,68799.11
Other,28,10K,Female,England,28,10688.34
Other,28,35K,Female,England,28,35052.06
Other,29,40K,Female,England,29,41897.53
Other,29,25K,Female,England,29,29654.53
Other,29,0K,Female,England,29,1834.14
Other,29,30K,Female,England,29,33563.67
Other,29,45K,Female,England,29,46543.51
Other,29,65K,Female,England,29,68344.02
Other,29,10K,Female,England,29,11738.7
Other,29,10K,Female,England,29,11504.49
Other,29,25K,Female,England,29,27683.73
Other,30,0K,Female,England,30,2730.89
Other,30,70K,Female,England,30,72874.91
Other,30,105K,Female,England,30,105695.88
Other,30,50K,Female,England,30,52474.35
Other,30,45K,Female,England,30,47404.84
Other,30,85K,Female,England,30,86591.86
Other,31,0K,Female,England,31,4941.26
Other,31,80K,Female,England,31,81245.5
Other,31,0K,Female,England,31,1173.73
Other,31,105K,Female,England,31,107268.59
Other,31,0K,Female,England,31,4064.42
Other,31,70K,Female,England,31,73990.81
Other,31,25K,Female,England,31,25016.03
Other,32,70K,Female,England,32,71324.35
Other,32,60K,Female,England,32,62279.58
Other,32,40K,Female,England,32,44949.1
Other,32,0K,Female,England,32,699.42
Other,32,75K,Female,England,32,76207.19
Other,33,45K,Female,England,33,49665.09
Other,33,0K,Female,England,33,2471.48
Other,33,60K,Female,England,33,60395.3
Other,33,35K,Female,England,33,36709.9
Other,34,20K,Female,England,34,22433.36
Other,34,10K,Female,England,34,14965.91
Other,34,20K,Female,England,34,23145.58
Other,34,35K,Female,England,34,39040.73
Other,34,60K,Female,England,34,63083.87
Other,34,20K,Female,England,34,21997.45
Other,35,25K,Female,England,35,28586.34
Other,35,45K,Female,England,35,49160.19
Other,35,50K,Female,England,35,54691.63
Other,35,100K,Female,England,35,104867.33
Other,35,40K,Female,England,35,42162.2
Other,35,15K,Female,England,35,16482.84
Other,35,30K,Female,England,35,30158.68
Other,35,80K,Female,England,35,82688.19
Other,36,10K,Female,England,36,10057.04
Other,36,35K,Female,England,36,39639.3
Other,36,70K,Female,England,36,70684.35
Other,36,55K,Female,England,36,56430.27
Other,36,5K,Female,England,36,6272.99
Other,36,30K,Female,England,36,31377.37
Other,36,5K,Female,England,36,9106.91
Other,37,25K,Female,England,37,26478.35
Other,37,0K,Female,England,37,339.23
Other,37,85K,Female,England,37,89906.69
Other,37,30K,Female,England,37,31706.03
Other,37,35K,Female,England,37,37294.08
Other,37,15K,Female,England,37,16358.32
Other,37,90K,Female,England,37,93845.6
Other,38,80K,Female,England,38,80338.65
Other,38,50K,Female,England,38,52220.12
Other,38,75K,Female,England,38,77856.76
Other,38,35K,Female,England,38,37142.39
Other,38,50K,Female,England,38,54104.73
Other,39,30K,Female,England,39,34441.92
Other,39,15K,Female,England,39,18016.11
Other,39,60K,Female,England,39,63362.89
Other,39,20K,Female,England,39,21827.12
Other,40,50K,Female,England,40,52970.78
Other,40,55K,Female,England,40,55489.08
Other,40,0K,Female,England,40,1795.2
Other,40,85K,Female,England,40,87234.69
Other,40,25K,Female,England,40,26011.48
Other,40,25K,Female,England,40,27602.78
Other,40,20K,Female,England,40,24204.28
Other,40,70K,Female,England,40,73177.7
Other,41,70K,Female,England,41,70452.02
Other,41,15K,Female,England,41,19938.81
Other,41,40K,Female,England,41,41566.38
Other,41,15K,Female,England,41,18206.83
Other,41,15K,Female,England,41,19269.63
Other,42,60K,Female,England,42,61434.51
Other,42,10K,Female,England,42,10562.39
Other,42,15K,Female,England,42,19699.45
Other,42,105K,Female,England,42,107366.02
Other,42,0K,Female,England,42,4959.12
Other,43,35K,Female,England,43,38986.48
Other,43,85K,Female,England,43,88279.66
Other,43,70K,Female,England,43,73601.8
Other,44,60K,Female,England,44,64470.77
Other,44,10K,Female,England,44,14563.87
Other,44,70K,Female,England,44,71313.5
Other,44,10K,Female,England,44,11121.96
Other,44,50K,Female,England,44,52619.82
Other,44,30K,Female,England,44,32865.62
Other,45,35K,Female,England,45,36293
Other,45,5K,Female,England,45,9976.92
Other,45,10K,Female,England,45,12247.62
Other,45,60K,Female,England,45,62529.53
Other,45,65K,Female,England,45,68291.36
Other,46,70K,Female,England,46,71257.04
Other,46,50K,Female,England,46,50959.4
Other,46,45K,Female,England,46,49374.99
Other,49,40K,Female,England,49,41652.84
Other,49,90K,Female,England,49,90049.91
Other,53,35K,Female,England,53,36319.75
Other,53,50K,Female,England,53,52378.68
Other,17,10K,Female,Northern Ireland,17,13301.43
Other,19,0K,Female,Northern Ireland,19,2184.18
Other,20,80K,Female,Northern Ireland,20,82598.94
Other,20,5K,Female,Northern Ireland,20,9707.95
Other,21,50K,Female,Northern Ireland,21,50686.07
Other,22,15K,Female,Northern Ireland,22,18299.03
Other,23,55K,Female,Northern Ireland,23,55821.07
Other,23,80K,Female,Northern Ireland,23,82229.1
Other,24,0K,Female,Northern Ireland,24,899.97
Other,24,65K,Female,Northern Ireland,24,66857.45
Other,24,0K,Female,Northern Ireland,24,2617.17
Other,25,25K,Female,Northern Ireland,25,29644.65
Other,27,15K,Female,Northern Ireland,27,18601.06
Other,27,35K,Female,Northern Ireland,27,37985.87
Other,27,65K,Female,Northern Ireland,27,65095.97
Other,28,25K,Female,Northern Ireland,28,25544.09
Other,28,30K,Female,Northern Ireland,28,31153.14
Other,28,15K,Female,Northern Ireland,28,19160.55
Other,28,130K,Female,Northern Ireland,28,133050.09
Other,28,40K,Female,Northern Ireland,28,40163.92
Other,29,30K,Female,Northern Ireland,29,32458.74
Other,29,70K,Female,Northern Ireland,29,74348.45
Other,29,75K,Female,Northern Ireland,29,75395.32
Other,30,60K,Female,Northern Ireland,30,60385.3
Other,30,50K,Female,Northern Ireland,30,51991.07
Other,31,5K,Female,Northern Ireland,31,6631.42
Other,31,30K,Female,Northern Ireland,31,32162.34
Other,31,50K,Female,Northern Ireland,31,50699.67
Other,31,30K,Female,Northern Ireland,31,30914.02
Other,31,5K,Female,Northern Ireland,31,8261.2
Other,31,25K,Female,Northern Ireland,31,27667.95
Other,32,45K,Female,Northern Ireland,32,48145.5
Other,32,5K,Female,Northern Ireland,32,5908.97
Other,32,15K,Female,Northern Ireland,32,15858.93
Other,32,20K,Female,Northern Ireland,32,20451.86
Other,32,15K,Female,Northern Ireland,32,19510.11
Other,33,0K,Female,Northern Ireland,33,133.75
Other,34,20K,Female,Northern Ireland,34,20742.96
Other,34,0K,Female,Northern Ireland,34,4951.65
Other,35,75K,Female,Northern Ireland,35,77091.37
Other,36,45K,Female,Northern Ireland,36,49294.33
Other,36,10K,Female,Northern Ireland,36,11566.5
Other,38,10K,Female,Northern Ireland,38,13914.8
Other,39,50K,Female,Northern Ireland,39,50492.06
Other,39,80K,Female,Northern Ireland,39,84480.9
Other,42,45K,Female,Northern Ireland,42,46393.55
Other,42,40K,Female,Northern Ireland,42,43376.23
Other,43,25K,Female,Northern Ireland,43,29990.71
Other,43,20K,Female,Northern Ireland,43,21607.48
Other,45,85K,Female,Northern Ireland,45,88579.21
Other,46,40K,Female,Northern Ireland,46,44875.11
Other,52,115K,Female,Northern Ireland,52,118676.95
Other,52,5K,Female,Northern Ireland,52,7764.71
Other,55,55K,Female,Northern Ireland,55,55111.01
Other,27,5K,Female,Scotland,27,7835.23
Other,28,50K,Female,Scotland,28,52614.67
Other,28,30K,Female,Scotland,28,33797.54
Other,28,30K,Female,Scotland,28,32468.21
Other,30,30K,Female,Scotland,30,31311.45
Other,31,10K,Female,Scotland,31,14526.24
Other,32,35K,Female,Scotland,32,37920.84
Other,33,25K,Female,Scotland,33,27833.06
Other,34,60K,Female,Scotland,34,61355.54
Other,34,55K,Female,Scotland,34,57068.72
Other,34,20K,Female,Scotland,34,20725.33
Other,35,5K,Female,Scotland,35,5897.92
Other,36,30K,Female,Scotland,36,33617.08
Other,37,55K,Female,Scotland,37,59655.79
Other,37,25K,Female,Scotland,37,29666.2
Other,38,65K,Female,Scotland,38,69556.06
Other,38,110K,Female,Scotland,38,114945.55
Other,38,100K,Female,Scotland,38,102268.43
Other,38,35K,Female,Scotland,38,37115.03
Other,38,65K,Female,Scotland,38,67598.37
Other,39,45K,Female,Scotland,39,47002.22
Other,39,55K,Female,Scotland,39,58376.83
Other,39,30K,Female,Scotland,39,31245
Other,39,60K,Female,Scotland,39,60307.56
Other,39,10K,Female,Scotland,39,13061.49
Other,40,20K,Female,Scotland,40,22027.41
Other,40,15K,Female,Scotland,40,16469.27
Other,40,35K,Female,Scotland,40,36530.74
Other,41,5K,Female,Scotland,41,8910.56
Other,41,10K,Female,Scotland,41,10473.35
Other,42,35K,Female,Scotland,42,38905.96
Other,42,80K,Female,Scotland,42,80857.57
Other,42,5K,Female,Scotland,42,6916.13
Other,42,0K,Female,Scotland,42,1063.2
Other,42,5K,Female,Scotland,42,9013.24
Other,42,60K,Female,Scotland,42,62850.82
Other,42,55K,Female,Scotland,42,56135.18
Other,42,55K,Female,Scotland,42,59189.09
Other,43,5K,Female,Scotland,43,8837.34
Other,43,0K,Female,Scotland,43,3297.32
Other,43,40K,Female,Scotland,43,41538.28
Other,43,0K,Female,Scotland,43,3893.42
Other,43,10K,Female,Scotland,43,10037.76
Other,43,15K,Female,Scotland,43,19695.66
Other,43,35K,Female,Scotland,43,38012.27
Other,43,35K,Female,Scotland,43,38308.54
Other,43,60K,Female,Scotland,43,63757.4
Other,43,40K,Female,Scotland,43,40730.74
Other,43,5K,Female,Scotland,43,7670.6
Other,43,10K,Female,Scotland,43,10513.17
Other,44,60K,Female,Scotland,44,60444.7
Other,44,10K,Female,Scotland,44,10268.99
Other,44,10K,Female,Scotland,44,12939.73
Other,44,15K,Female,Scotland,44,19326.71
Other,44,40K,Female,Scotland,44,44623.87
Other,44,20K,Female,Scotland,44,22760.94
Other,44,20K,Female,Scotland,44,24636.06
Other,44,10K,Female,Scotland,44,14635.36
Other,44,55K,Female,Scotland,44,59401.58
Other,44,0K,Female,Scotland,44,2799.27
Other,44,30K,Female,Scotland,44,33835.65
Other,44,25K,Female,Scotland,44,25692
Other,45,5K,Female,Scotland,45,6176.99
Other,45,5K,Female,Scotland,45,9654.58
Other,45,30K,Female,Scotland,45,33898.15
Other,45,20K,Female,Scotland,45,24993.27
Other,45,70K,Female,Scotland,45,71299.84
Other,45,10K,Female,Scotland,45,10628.71
Other,45,25K,Female,Scotland,45,28231.9
Other,45,0K,Female,Scotland,45,4151.14
Other,46,15K,Female,Scotland,46,15479.42
Other,46,20K,Female,Scotland,46,24686.89
Other,46,75K,Female,Scotland,46,79599.33
Other,46,0K,Female,Scotland,46,3374.35
Other,46,20K,Female,Scotland,46,22847.37
Other,46,10K,Female,Scotland,46,13507.48
Other,46,30K,Female,Scotland,46,32324.22
Other,46,40K,Female,Scotland,46,43705.96
Other,46,25K,Female,Scotland,46,27886.21
Other,46,35K,Female,Scotland,46,36237.59
Other,47,30K,Female,Scotland,47,34391.3
Other,47,95K,Female,Scotland,47,97165.43
Other,47,10K,Female,Scotland,47,10671.26
Other,47,45K,Female,Scotland,47,48268.62
Other,47,60K,Female,Scotland,47,64940.12
Other,47,35K,Female,Scotland,47,38258.98
Other,47,20K,Female,Scotland,47,20587.44
Other,47,85K,Female,Scotland,47,86073.84
Other,47,5K,Female,Scotland,47,9169.82
Other,48,35K,Female,Scotland,48,39884.78
Other,48,35K,Female,Scotland,48,35190.96
Other,48,10K,Female,Scotland,48,12405.42
Other,48,5K,Female,Scotland,48,6104.59
Other,48,60K,Female,Scotland,48,63490.36
Other,48,40K,Female,Scotland,48,40137.73
Other,48,5K,Female,Scotland,48,7764.14
Other,48,15K,Female,Scotland,48,19089.33
Other,48,70K,Female,Scotland,48,73328.32
Other,48,5K,Female,Scotland,48,9758.08
Other,49,25K,Female,Scotland,49,29854.64
Other,49,115K,Female,Scotland,49,115069.41
Other,49,20K,Female,Scotland,49,21093.17
Other,49,60K,Female,Scotland,49,62026.18
Other,49,5K,Female,Scotland,49,5981.41
Other,49,70K,Female,Scotland,49,73866.02
Other,49,30K,Female,Scotland,49,31505.8
Other,49,45K,Female,Scotland,49,49277
Other,49,45K,Female,Scotland,49,47764.94
Other,49,70K,Female,Scotland,49,74079.13
Other,49,5K,Female,Scotland,49,7873.92
Other,49,35K,Female,Scotland,49,38447.9
Other,50,45K,Female,Scotland,50,48266.76
Other,50,15K,Female,Scotland,50,15104.72
Other,50,25K,Female,Scotland,50,26851.86
Other,50,30K,Female,Scotland,50,31918.02
Other,50,95K,Female,Scotland,50,99770.73
Other,50,55K,Female,Scotland,50,59477.82
Other,50,10K,Female,Scotland,50,14835.01
Other,50,25K,Female,Scotland,50,28116.71
Other,50,65K,Female,Scotland,50,67803.35
Other,51,25K,Female,Scotland,51,29889.68
Other,51,15K,Female,Scotland,51,16321.85
Other,51,55K,Female,Scotland,51,58682.58
Other,51,55K,Female,Scotland,51,55056.65
Other,51,5K,Female,Scotland,51,6555.97
Other,51,10K,Female,Scotland,51,11909.63
Other,51,50K,Female,Scotland,51,50115.25
Other,51,5K,Female,Scotland,51,5227.69
Other,51,40K,Female,Scotland,51,43954.03
Other,51,5K,Female,Scotland,51,5467.19
Other,51,45K,Female,Scotland,51,47468.79
Other,52,5K,Female,Scotland,52,8526.86
Other,52,5K,Female,Scotland,52,6222.21
Other,52,60K,Female,Scotland,52,61901.62
Other,52,65K,Female,Scotland,52,65019.95
Other,52,45K,Female,Scotland,52,49205.24
Other,52,35K,Female,Scotland,52,36607.23
Other,52,10K,Female,Scotland,52,12210.94
Other,52,50K,Female,Scotland,52,53599.25
Other,52,15K,Female,Scotland,52,16743.55
Other,52,90K,Female,Scotland,52,94197.01
Other,53,35K,Female,Scotland,53,37604.23
Other,53,35K,Female,Scotland,53,36741.01
Other,53,0K,Female,Scotland,53,466.01
Other,53,40K,Female,Scotland,53,40931.28
Other,53,5K,Female,Scotland,53,7887.99
Other,53,50K,Female,Scotland,53,53820.41
Other,53,10K,Female,Scotland,53,12769.93
Other,53,55K,Female,Scotland,53,56122.61
Other,53,55K,Female,Scotland,53,56872.97
Other,53,45K,Female,Scotland,53,47265.41
Other,53,40K,Female,Scotland,53,41704.56
Other,53,70K,Female,Scotland,53,71809.45
Other,53,20K,Female,Scotland,53,21717.51
Other,53,50K,Female,Scotland,53,51621.76
Other,53,80K,Female,Scotland,53,81863.36
Other,54,80K,Female,Scotland,54,80616.31
Other,54,40K,Female,Scotland,54,43204.63
Other,54,35K,Female,Scotland,54,37009.51
Other,54,60K,Female,Scotland,54,61439.56
Other,54,40K,Female,Scotland,54,40691.52
Other,54,15K,Female,Scotland,54,17076.49
Other,54,30K,Female,Scotland,54,34767.58
Other,54,10K,Female,Scotland,54,12121.66
Other,55,45K,Female,Scotland,55,46862.56
Other,55,10K,Female,Scotland,55,10738.26
Other,55,75K,Female,Scotland,55,77113.36
Other,55,100K,Female,Scotland,55,100995.05
Other,55,15K,Female,Scotland,55,18705.83
Other,55,25K,Female,Scotland,55,29753.91
Other,55,65K,Female,Scotland,55,68864.13
Other,55,10K,Female,Scotland,55,12232.83
Other,55,5K,Female,Scotland,55,7365.5
Other,56,25K,Female,Scotland,56,25452.8
Other,56,0K,Female,Scotland,56,4111.03
Other,56,10K,Female,Scotland,56,14418.78
Other,56,115K,Female,Scotland,56,115592.15
Other,56,10K,Female,Scotland,56,11863.42
Other,56,25K,Female,Scotland,56,29174.19
Other,56,10K,Female,Scotland,56,10029.71
Other,56,5K,Female,Scotland,56,6197.21
Other,56,65K,Female,Scotland,56,66211.28
Other,57,35K,Female,Scotland,57,38534.15
Other,57,0K,Female,Scotland,57,4025.97
Other,57,30K,Female,Scotland,57,31148.7
Other,57,20K,Female,Scotland,57,20516.92
Other,58,55K,Female,Scotland,58,59941.68
Other,58,50K,Female,Scotland,58,53914.11
Other,58,105K,Female,Scotland,58,105104.49
Other,58,65K,Female,Scotland,58,69027.62
Other,58,15K,Female,Scotland,58,15502.73
Other,58,75K,Female,Scotland,58,77504.67
Other,59,15K,Female,Scotland,59,19630.11
Other,59,40K,Female,Scotland,59,44326.6
Other,59,50K,Female,Scotland,59,54003.42
Other,59,35K,Female,Scotland,59,39943.69
Other,59,85K,Female,Scotland,59,87136.45
Other,59,5K,Female,Scotland,59,6674.7
Other,59,10K,Female,Scotland,59,14644.76
Other,59,95K,Female,Scotland,59,99970.31
Other,59,55K,Female,Scotland,59,55368.66
Other,59,10K,Female,Scotland,59,13708.97
Other,60,45K,Female,Scotland,60,47942.04
Other,60,25K,Female,Scotland,60,28541.14
Other,60,65K,Female,Scotland,60,67913.86
Other,60,0K,Female,Scotland,60,2527
Other,60,40K,Female,Scotland,60,44430.94
Other,61,15K,Female,Scotland,61,18880.99
Other,62,110K,Female,Scotland,62,110171.27
Other,62,85K,Female,Scotland,62,86610.74
Other,62,20K,Female,Scotland,62,23578.96
Other,64,20K,Female,Scotland,64,23522.36
Other,64,70K,Female,Scotland,64,73503.9
Other,18,15K,Female,Wales,18,18574.76
Other,25,5K,Female,Wales,25,5073.87
Other,26,30K,Female,Wales,26,31028.36
Other,27,40K,Female,Wales,27,40857.78
Other,28,60K,Female,Wales,28,62137.79
Other,31,20K,Female,Wales,31,23095.68
Other,31,5K,Female,Wales,31,7541.33
Other,31,10K,Female,Wales,31,14961.53
Other,32,15K,Female,Wales,32,19954.05
Other,33,15K,Female,Wales,33,18469.94
Other,33,70K,Female,Wales,33,74578.98
Other,34,55K,Female,Wales,34,55297.13
Other,34,15K,Female,Wales,34,19249.76
Other,35,40K,Female,Wales,35,42743
Other,35,20K,Female,Wales,35,23072.45
Other,36,5K,Female,Wales,36,9679.91
Other,36,60K,Female,Wales,36,60441.82
Other,36,30K,Female,Wales,36,33899.52
Other,36,40K,Female,Wales,36,44515.4
Other,37,15K,Female,Wales,37,15635.08
Other,38,25K,Female,Wales,38,28968.33
Other,38,90K,Female,Wales,38,94773.07
Other,38,20K,Female,Wales,38,23527.21
Other,39,65K,Female,Wales,39,69569.29
Other,39,25K,Female,Wales,39,25974.49
Other,39,65K,Female,Wales,39,68659.24
Other,40,35K,Female,Wales,40,37204.58
Other,41,15K,Female,Wales,41,19485.71
Other,42,55K,Female,Wales,42,55359.26
Other,42,25K,Female,Wales,42,28516.17
Other,44,35K,Female,Wales,44,39986.1
Other,44,0K,Female,Wales,44,1884.22
Other,44,40K,Female,Wales,44,44752.01
Other,45,50K,Female,Wales,45,53783.65
Other,45,20K,Female,Wales,45,22305.13
Other,45,85K,Female,Wales,45,86475.8
Other,47,70K,Female,Wales,47,71574.75
Other,50,90K,Female,Wales,50,91569.83
White Collar,18,35K,Female,England,18,36706.84
White Collar,18,90K,Female,England,18,93603.84
White Collar,18,30K,Female,England,18,31719.69
White Collar,18,15K,Female,England,18,18520
White Collar,19,35K,Female,England,19,37946.24
White Collar,20,50K,Female,England,20,51904.56
White Collar,20,15K,Female,England,20,17321.01
White Collar,20,70K,Female,England,20,74880.21
White Collar,20,30K,Female,England,20,34528.03
White Collar,21,25K,Female,England,21,25489.13
White Collar,21,0K,Female,England,21,3038.3
White Collar,21,10K,Female,England,21,14599.55
White Collar,22,80K,Female,England,22,84123.93
White Collar,22,30K,Female,England,22,32946.72
White Collar,22,80K,Female,England,22,80667.65
White Collar,22,15K,Female,England,22,16369.66
White Collar,22,70K,Female,England,22,73415.97
White Collar,22,15K,Female,England,22,15613.06
White Collar,22,25K,Female,England,22,28189.39
White Collar,23,5K,Female,England,23,5965.14
White Collar,23,130K,Female,England,23,133589.87
White Collar,23,45K,Female,England,23,47114.15
White Collar,23,15K,Female,England,23,17247.7
White Collar,23,40K,Female,England,23,44620.56
White Collar,23,20K,Female,England,23,24384.59
White Collar,23,20K,Female,England,23,23220.99
White Collar,23,10K,Female,England,23,13772.7
White Collar,24,90K,Female,England,24,93329.94
White Collar,24,85K,Female,England,24,86123
White Collar,24,25K,Female,England,24,27806.65
White Collar,24,70K,Female,England,24,71148.77
White Collar,24,0K,Female,England,24,2590.6
White Collar,24,95K,Female,England,24,97846.35
White Collar,24,25K,Female,England,24,27028.23
White Collar,24,55K,Female,England,24,59597.09
White Collar,25,20K,Female,England,25,23571.9
White Collar,25,5K,Female,England,25,5121.17
White Collar,25,10K,Female,England,25,13710.31
White Collar,25,50K,Female,England,25,54930.04
White Collar,25,70K,Female,England,25,74258.42
White Collar,25,40K,Female,England,25,42773.9
White Collar,25,40K,Female,England,25,41415.13
White Collar,25,45K,Female,England,25,45618.61
White Collar,25,5K,Female,England,25,5834.39
White Collar,25,20K,Female,England,25,20412.43
White Collar,25,55K,Female,England,25,56604.06
White Collar,25,25K,Female,England,25,29770.55
White Collar,25,20K,Female,England,25,22598.74
White Collar,25,20K,Female,England,25,21738.25
White Collar,25,65K,Female,England,25,66105.55
White Collar,25,40K,Female,England,25,44240.78
White Collar,26,10K,Female,England,26,13836.11
White Collar,26,50K,Female,England,26,54926.14
White Collar,26,5K,Female,England,26,5526.87
White Collar,26,0K,Female,England,26,2849.16
White Collar,26,20K,Female,England,26,21988.77
White Collar,26,10K,Female,England,26,13299.35
White Collar,26,25K,Female,England,26,25355.23
White Collar,26,55K,Female,England,26,59155.94
White Collar,26,20K,Female,England,26,22897.58
White Collar,26,0K,Female,England,26,3974.04
White Collar,26,80K,Female,England,26,83372.36
White Collar,26,15K,Female,England,26,19090.8
White Collar,27,20K,Female,England,27,23183.41
White Collar,27,0K,Female,England,27,3120.2
White Collar,27,70K,Female,England,27,73722.88
White Collar,27,0K,Female,England,27,361.64
White Collar,27,55K,Female,England,27,57283.14
White Collar,27,60K,Female,England,27,63257.61
White Collar,27,55K,Female,England,27,55631.78
White Collar,27,40K,Female,England,27,42901.77
White Collar,27,10K,Female,England,27,13854.47
White Collar,28,20K,Female,England,28,20894.82
White Collar,28,5K,Female,England,28,8195.76
White Collar,28,55K,Female,England,28,59252.91
White Collar,28,25K,Female,England,28,28802.1
White Collar,28,75K,Female,England,28,76304.75
White Collar,28,10K,Female,England,28,14786.28
White Collar,28,15K,Female,England,28,19866.92
White Collar,28,30K,Female,England,28,31066.94
White Collar,28,25K,Female,England,28,26670.87
White Collar,28,100K,Female,England,28,104030.29
White Collar,28,80K,Female,England,28,82638.51
White Collar,28,0K,Female,England,28,3766.5
White Collar,28,140K,Female,England,28,142461.87
White Collar,28,15K,Female,England,28,17565.51
White Collar,28,105K,Female,England,28,107083.15
White Collar,28,10K,Female,England,28,11549.67
White Collar,28,35K,Female,England,28,38920.96
White Collar,28,35K,Female,England,28,36852.63
White Collar,28,20K,Female,England,28,21840.84
White Collar,28,10K,Female,England,28,12085.14
White Collar,28,35K,Female,England,28,39275.12
White Collar,28,85K,Female,England,28,88090.32
White Collar,29,30K,Female,England,29,34725.59
White Collar,29,5K,Female,England,29,6807.36
White Collar,29,100K,Female,England,29,103942.23
White Collar,29,65K,Female,England,29,65213.98
White Collar,29,65K,Female,England,29,69174.72
White Collar,29,25K,Female,England,29,25137.17
White Collar,29,95K,Female,England,29,96673.11
White Collar,29,15K,Female,England,29,17287.98
White Collar,29,20K,Female,England,29,23159.95
White Collar,29,10K,Female,England,29,14661.25
White Collar,29,5K,Female,England,29,9622.64
White Collar,29,15K,Female,England,29,16056.76
White Collar,29,15K,Female,England,29,17952.16
White Collar,29,50K,Female,England,29,54174.39
White Collar,29,40K,Female,England,29,40307.9
White Collar,29,40K,Female,England,29,44345.61
White Collar,29,50K,Female,England,29,53197.64
White Collar,29,0K,Female,England,29,98.68
White Collar,29,50K,Female,England,29,53584.67
White Collar,29,70K,Female,England,29,71423.01
White Collar,29,35K,Female,England,29,39324.22
White Collar,29,5K,Female,England,29,5312.07
White Collar,29,40K,Female,England,29,40656.48
White Collar,29,20K,Female,England,29,21477.46
White Collar,29,25K,Female,England,29,26802.82
White Collar,29,115K,Female,England,29,119118.39
White Collar,29,35K,Female,England,29,37466.44
White Collar,30,105K,Female,England,30,106490.28
White Collar,30,45K,Female,England,30,49965.59
White Collar,30,10K,Female,England,30,12356.64
White Collar,30,50K,Female,England,30,54749.13
White Collar,30,15K,Female,England,30,16703.14
White Collar,30,135K,Female,England,30,139784.01
White Collar,30,0K,Female,England,30,279.01
White Collar,30,55K,Female,England,30,59120.59
White Collar,30,0K,Female,England,30,4570.98
White Collar,30,15K,Female,England,30,17332.05
White Collar,30,135K,Female,England,30,138086.22
White Collar,30,0K,Female,England,30,1839.84
White Collar,30,0K,Female,England,30,2467.17
White Collar,30,35K,Female,England,30,39515
White Collar,30,15K,Female,England,30,17188.21
White Collar,30,25K,Female,England,30,27937.26
White Collar,30,140K,Female,England,30,143808.39
White Collar,30,40K,Female,England,30,41750.17
White Collar,30,40K,Female,England,30,44599.53
White Collar,30,50K,Female,England,30,52200.62
White Collar,30,0K,Female,England,30,2633.71
White Collar,30,50K,Female,England,30,51090.19
White Collar,30,25K,Female,England,30,25489.52
White Collar,30,100K,Female,England,30,101676.32
White Collar,30,25K,Female,England,30,26551.11
White Collar,30,75K,Female,England,30,79094.42
White Collar,30,55K,Female,England,30,57333.77
White Collar,30,75K,Female,England,30,78128.45
White Collar,30,70K,Female,England,30,73833.28
White Collar,30,45K,Female,England,30,45527.09
White Collar,30,40K,Female,England,30,43545.03
White Collar,31,40K,Female,England,31,44576.62
White Collar,31,0K,Female,England,31,1330.3
White Collar,31,45K,Female,England,31,48927.48
White Collar,31,80K,Female,England,31,82376.44
White Collar,31,25K,Female,England,31,29053.97
White Collar,31,10K,Female,England,31,12498.12
White Collar,31,80K,Female,England,31,84543.25
White Collar,31,25K,Female,England,31,29296.95
White Collar,31,130K,Female,England,31,130717.22
White Collar,31,20K,Female,England,31,23497.05
White Collar,31,40K,Female,England,31,42662.04
